,description,len
z_sop_bnd_adm_dong_pg,"table_name: z_sop_bnd_adm_dong_pg
description: 행정동의 경계와 정보를 저장하는 테이블입니다. 행정동은 읍면동을 더 세분화한 지역으로, 이 테이블에는 각 행정동의 이름, 코드, 경계 정보 등이 포함되어 있습니다.",138
z_sop_bnd_sigungu_pg,"table_name: z_sop_bnd_sigungu_pg
description: 행정경계 시군구(행정동) 정보를 저장하는 테이블로, 각 시군구의 구분자, 코드, 이름, 경계지리정보 등을 포함합니다. (150자 이내)",121
tl_scco_emd,"table_name: tl_scco_emd
description: 행정경계_읍면동(법정동)과 관련된 정보를 저장하는 테이블로, 읍면동의 코드, 영어명, 한국어명, 그리고 지리적 위치 정보를 포함합니다.",112
tl_scco_sig,"table_name: tl_scco_sig
description: 행정경계 시군구의 지리적 정보를 저장하는 테이블입니다. (행정동, 시군구 코드, 이름 등)",87
tl_scco_li,"table_name: tl_scco_li
description: 행정경계_리(법정동) 정보를 저장하는 테이블로, 각 행은 법정동의 고유 ID, 코드, 영어 및 한국어 이름, 그리고 지오메트리 정보를 포함합니다. 이 테이블은 행정구역을 관리하고 분석하는 데 사용됩니다. (150자 이내)",159
tl_scco_ctprvn,"table_name: tl_scco_ctprvn
description: 행정경계 시도(법정동) 정보를 저장하는 테이블로, 각 시도의 코드, 이름, 영문명, 법정동 정보 등을 포함합니다.",103
lsmd_cont_ldreg_all,"lsmd_cont_ldreg_all: 연속지적도_전국에 대한 지적도 정보를 저장하는 테이블로, 각 지적도는 OID, 지번, 법정동, 행정구역, 지형, 건물 등 다양한 속성을 포함합니다. 이 테이블은 지적도 데이터의 관리와 분석을 지원합니다. (150자)",141
lsmd_cont_ldreg_50,"lsmd_cont_ldreg_50: 연속지적도 제주, 지적도 정보를 저장하는 테이블로, 지번, 지목, 면적 등 다양한 지적도 데이터를 포함합니다. (150자 이내)",91
lsmd_cont_ldreg_51,"lsmd_cont_ldreg_51: 연속지적도 강원 지번, 주소, 면적 등 정보를 저장하는 테이블입니다. (150자 이내)",68
lsmd_cont_ldreg_48,"lsmd_cont_ldreg_48: 연속지적도 경남의 지적도 정보를 저장하는 테이블로, 각 지적도는 OID, 지번, 법정동, 행정구역, 지형, 지적도 ID 등 다양한 속성을 포함합니다. 이 테이블은 지적도 데이터를 관리하고 분석하는 데 사용됩니다. (150자)",145
lsmd_cont_ldreg_47,"lsmd_cont_ldreg_47: 연속지적도 경상북도 지번, 주소, 면적 등 정보를 저장하는 테이블입니다. (150자 이내)",70
lsmd_cont_ldreg_46,"lsmd_cont_ldreg_46: 연속지적도 전남의 지적도 정보를 저장하는 테이블로, 각 지적도의 OID, 지번, 법정동, 행정구역, 지형, 도면 등 다양한 정보를 포함합니다. 이 테이블은 지적도 관리와 분석을 위한 데이터베이스입니다. (150자)",139
lsmd_cont_ldreg_45,"lsmd_cont_ldreg_45: 연속지적도 전북의 지적도 정보를 저장하는 테이블로, 각 지적도의 OID, 지번, 법정동, 행정구역, 지형, 지적도 ID 등 다양한 정보를 포함합니다. 이 테이블은 지적도 데이터를 관리하고 분석하는 데 사용됩니다. (150자)",145
lsmd_cont_ldreg_44,"lsmd_cont_ldreg_44: 연속지적도 충남 지번, 주소, 도로명, 행정구역, 지리좌표 정보를 포함하는 테이블. 16개 필드가 있으며, 각 필드는 지번, 주소, 도로명, 행정구역, 지리좌표 등으로 구성되어 있다. 이 테이블은 충남 지역의 지적도에 대한 정보를 제공하고, 다양한 GIS 분석과 공간정보 서비스에 활용될 수 있다. (150자)",193
lsmd_cont_ldreg_43,"lsmd_cont_ldreg_43: 연속지적도 충북 지번, 주소, 도로명, 행정구역, 지리좌표 정보를 포함하는 테이블. 지적도 기반의 공간정보를 제공하여 다양한 분석과 시각화가 가능하다. (150자 이내)",114
lsmd_cont_ldreg_41,"lsmd_cont_ldreg_41: 연속지적도 경기 지번, 지목, 면적, 건물수, 도로접, 수용가, 용도지역, 지형, 토지이용, 경계, 주소 등의 정보를 포함하는 테이블. 지적도 기반의 공간정보를 제공하여 다양한 분석과 시각화가 가능하다. (150자 이내)",143
lsmd_cont_ldreg_36,"lsmd_cont_ldreg_36: 연속지적도 세종시의 지번, 주소, 면적 등 정보를 저장하는 테이블입니다. 이 테이블은 세종시의 지적도를 기반으로 각 지번에 대한 상세한 정보를 제공합니다. (150자)",113
lsmd_cont_ldreg_31,"lsmd_cont_ldreg_31: 연속지적도 울산의 지적도 정보를 저장하는 테이블로, 각 지적도는 OID, 지번, 법정동, 행정구역, 지형, 도면 등 다양한 속성을 포함합니다. 이 테이블은 울산시의 지적도를 관리하고 분석하는 데 사용됩니다. (150자)",142
lsmd_cont_ldreg_30,"lsmd_cont_ldreg_30: 연속지적도 대전의 지적도 정보를 저장하는 테이블로, 지적도 ID, 도면 이름, 도면 설명, 도면 크기, 도면 형식, 도면 생성일, 도면 수정일 등의 정보가 포함되어 있다.",115
lsmd_cont_ldreg_29,"lsmd_cont_ldreg_29: 연속지적도 광주에 대한 지적도 정보를 저장하는 테이블로, 각 행은 지적도 ID, 지적도 이름, 지적도 유형, 지적도 크기, 지적도 생성일, 지적도 업데이트 일 등을 포함합니다. 이 테이블을 통해 지적도에 대한 다양한 정보를 검색하고 관리할 수 있습니다. (150자)",168
lsmd_cont_ldreg_28,"lsmd_cont_ldreg_28: 연속지적도 인천의 지번, 주소, 도로명 등 지리 정보를 저장하는 테이블입니다. 150자 이내. (Korean)",81
lsmd_cont_ldreg_27,"lsmd_cont_ldreg_27: 연속지적도 대구의 지적도 정보를 저장하는 테이블로, 각 지적도는 sgg_oid, jibun, bchk, pnu, col_adm_se, geom 등의 속성을 포함합니다. 이 테이블은 지적도 데이터를 관리하고 분석하는 데 사용됩니다. (150자 이내)",158
lsmd_cont_ldreg_26,"lsmd_cont_ldreg_26: 연속지적도 부산의 지번, 주소, 대장번호, 등기부등본번호, 행정구역코드, 지리좌표 등의 정보를 포함하는 테이블. 지적도에 대한 다양한 분석과 시각화가 가능하다. (150자 이내)",119
lsmd_cont_ldreg_11,"lsmd_cont_ldreg_11: 연속지적도_서울의 지적도 정보를 저장하는 테이블로, 지번, 지목, 면적 등 다양한 지적도 데이터를 포함합니다. (150자 이내)",91
tl_spsb_statn,"table_name: tl_spsb_statn
description: 지하철역 정보를 포함하는 테이블로, 역의 고유 ID, 역명, 위치, 운영 시작일, 지리적 좌표 등이 저장되어 있다.",103
tl_spsb_entrc,"table_name: tl_spsb_entrc
description: 지하철역의 입구 정보를 저장하는 테이블로, 지하철역 위치, 입구 번호, 운영 날짜 등이 포함되어 있다.",96
tl_spsb_rlway,"table_name: tl_spsb_rlway
description: 지하철 노선 정보를 저장하는 테이블로, 각 열은 노선 ID, 신호 코드, 하위 노선 SN, 한국어 노선명, 운영 날짜, 지리적 위치 등을 포함합니다. 이 테이블을 통해 지하철 노선의 특성과 위치를 확인할 수 있습니다. (150자 이내)",170
tl_sprl_statn,"table_name: tl_sprl_statn
description: 철도역의 기본 정보를 저장하는 테이블로, 역의 고유 ID, 시그널 코드, 역 이름, 운영 시작일, 지리적 위치 등을 포함합니다. 이 테이블은 철도역의 관리와 운영에 필요한 데이터를 제공합니다.",146
tl_sprl_rlway,"table_name: tl_sprl_rlway
description: 철도 노선 정보를 저장하는 테이블로, 노선 ID, 시그널 코드, 선로 번호, 노선 이름, 운영 시작일, 지리적 위치 등의 정보가 포함되어 있다. 이 테이블은 철도 노선의 관리와 운영에 사용된다. (150자 이내)",157
tl_sprd_intrvl,"table_name: tl_sprd_intrvl
description: 도로 기초구간의 특성과 지리적 정보를 저장하는 테이블입니다. 이 테이블은 도로의 시작점, 끝점, 구간 ID, 구간 이름, 구간 길이, 구간 속도 제한 등 다양한 정보를 포함합니다. 이 정보는 도로 관리와 유지보수에 사용됩니다.",166
tl_sprd_manage,"table_name: tl_sprd_manage
description: 도로구간의 관리 정보를 저장하는 테이블, 도로명, 시작지점, 끝지점, 부여사유 등이 포함. (도로(도로구간), [('gid',), ('alwnc_de',), ('alwnc_resn',), ('bsi_int',), ('eng_rn',), (mvmn_de',), (mvmn_resn',), (mvm_res_cd',), ('ntfc_de',), ('opert_de',), ('rbp_cn',), ('rds_dpn_se',), ('rds_man_no',), (rep_cn',), ('rn',), ('rn_cd',), ('road_bt',), ('road_lt',), ('roa_cls_se',), (sig_cd',), ('wdr_rd_cd',), ('geom',)] and [(684233, '20180703', '이 지역 토지 색깔이 붉어서 붙여진 지명 유래를 반영', '20', 'Bulgeunburi-gil', '20190508', '도로구간변경', '12', '20180703', '2019050815...')])",551
tl_sprd_rw,"table_name: tl_sprd_rw
description: 도로(실폭도로) 정보를 저장하는 테이블, GID, 운영번호, RW_SN, SIG_CD, GEOM 등의 속성을 포함. (도로의 지리적 위치, 운영상태, 등)",122
al_d010,"GIS건물통합정보_전국에서 추출한 건물 정보를 저장하는 테이블입니다. 각 건물의 고유 ID, 주소, 지번, 건물용도, 구조, 면적 등 다양한 속성을 포함합니다. 이 테이블은 GIS 데이터 분석 및 시각화에 활용됩니다. (150자 이내)",131
al_48_d010,"GIS건물통합정보_경남의 al_48_d010 테이블은 경상남도 지역의 건물 정보를 포함하고 있습니다. 이 테이블에는 건물의 지번, 주소, 용도, 구조, 면적, 높이 등 다양한 속성들이 저장되어 있습니다. 또한, 이 테이블은 GIS(Geographic Information System)와 연동하여 공간 분석과 시각화가 가능합니다.",184
al_47_d010,"GIS건물통합정보_경북의 al_47_d010 테이블은 경상북도 구미시, 예천군, 상주시, 영주시, 포항시, 안동시, 의성군, 울진군에 위치한 건물 정보를 포함합니다. 이 테이블에는 건물의 지번, 주소, 건물용도, 구조, 면적, 높이 등 다양한 정보가 저장되어 있습니다. 2024년 5월 1일 기준으로 총 17개의 건물 정보가 포함되어 있습니다.",192
al_46_d010,"GIS건물통합정보_전남의 'al_46_d010' 테이블은 전라남도 지역의 건물 정보를 포함하고 있습니다. 이 테이블에는 건물의 지번, 주소, 용도, 구조, 면적, 높이 등 다양한 속성들이 저장되어 있으며, 이를 통해 전라남도 지역의 건축 환경을 이해할 수 있습니다.",148
al_45_d010,"GIS건물통합정보_전북의 al_45_d010 테이블은 전라북도 지역의 건물 정보를 포함하고 있습니다. 이 테이블에는 건물의 지번, 주소, 용도, 구조, 면적 등 다양한 속성들이 저장되어 있으며, 이를 통해 건물에 대한 분석과 시각화가 가능합니다.",137
al_44_d010,"GIS건물통합정보 충남 데이터에서 추출한 건물 정보를 저장하는 테이블입니다. 각 건물의 지번, 주소, 용도, 구조, 면적 등 다양한 속성을 포함합니다. 이 테이블은 GIS 분석과 공간 정보 서비스에 활용됩니다. (150자 이내)",127
al_43_d010,"GIS건물통합정보 충북 데이터에서 추출한 건물 정보를 저장하는 테이블입니다. 건물의 지번, 주소, 용도, 구조, 면적 등 다양한 속성을 포함합니다. 2024년 5월 1일 기준으로 17개의 건물 정보가 저장되어 있습니다.",122
al_42_d010,"GIS건물통합정보 강원에 대한 건물 정보를 포함하는 테이블입니다. 각 건물의 지리적 위치, 건축 구조, 용도 등 다양한 정보가 저장되어 있습니다. 이 테이블은 강원 지역의 건물 데이터를 관리하고 분석하는 데 사용됩니다.",122
al_41_d010,"GIS건물통합정보_경기에서 추출한 건물 정보를 저장하는 테이블입니다. 각 건물의 고유 ID, 주소, 구조, 용도 등 다양한 속성을 포함합니다. 이 테이블은 경기 지역의 건물 데이터를 관리하고 분석하는 데 사용됩니다.",120
al_36_d010,"GIS건물통합정보 세종에서 추출한 건물 정보를 저장하는 테이블입니다. 각 행은 하나의 건물을 나타내고, 열은 해당 건물의 속성(예: 주소, 구조, 면적 등)을 포함합니다. 이 테이블을 통해 세종시의 건물 데이터를 분석하고 시각화할 수 있습니다.",136
al_31_d010,"GIS건물통합정보_울산의 al_31_d010 테이블은 울산광역시 건물 정보를 포함하는 테이블입니다. 이 테이블에는 건물의 지리적 위치, 건물의 이름, 주소, 건물의 용도, 구조, 면적 등 다양한 정보가 포함되어 있습니다. 이 테이블을 통해 울산광역시의 건물에 대한 다양한 분석과 시각화가 가능합니다.",167
al_30_d010,"GIS건물통합정보_대전에서 추출한 대전광역시의 건물 정보를 저장하는 테이블입니다. 각 건물은 고유 ID, 지번, 도로명, 건물용도, 구조, 면적, 높이 등 다양한 속성을 갖고 있습니다. 이 테이블을 통해 대전시의 건물 분포와 특성에 대한 분석과 시각화가 가능합니다. (150자)",155
al_29_d010,"GIS건물통합정보 광주 데이터의 al_29_d010 테이블은 건물 정보를 포함하는 테이블로, 각 행은 하나의 건물을 나타내고 열은 해당 건물의 속성(예: 주소, 구조, 용도 등)을 포함합니다. 이 테이블은 광주광역시 내 건물에 대한 통합된 정보를 제공합니다. (150자 이하)",154
al_28_d010,"GIS건물통합정보_인천에서 추출한 강화군, 연수구, 남동구, 서구의 건물 정보를 포함하는 테이블입니다. 각 건물은 고유 ID, 지리좌표, 건축연도, 구조, 용도 등 다양한 속성을 가지고 있습니다. 이 테이블은 인천광역시의 건물 데이터를 제공합니다.",138
al_27_d010,"GIS건물통합정보_대구의 al_27_d010 테이블은 대구광역시 내 건물 정보를 포함하고 있습니다. 이 테이블에는 건물의 지번, 주소, 용도, 구조, 면적, 높이 등 다양한 정보가 저장되어 있습니다. 또한, 각 건물의 위치는 GIS 좌표로 표현되어 있어 공간 분석과 시각화에 활용할 수 있습니다. al_27_d010 테이블은 대구광역시의 도시 계획, 개발, 관리 등에 중요한 데이터를 제공합니다.",221
al_11_d010_new,"al_11_d010_new는 GIS건물통합정보_서울에서 추출한 건물 정보를 포함하는 테이블입니다. 이 테이블은 건물의 GID, 주소, 구조, 용도, 지번 등 다양한 속성을 포함하고 있습니다. 2017년부터 2024년까지의 데이터가 포함되어 있으며, 총 14개의 열과 337개의 행으로 구성되어 있습니다. 이 테이블은 서울시의 건물 정보를 분석하고 시각화하는 데 사용할 수 있습니다.",213
al_50_d010,"GIS건물통합정보_제주에서 추출한 제주도 건물 정보를 저장하는 테이블입니다. 각 건물의 지리적 위치, 건축물 코드, 건물 이름, 주소, 용도 등 다양한 정보가 포함되어 있습니다. 이 테이블은 GIS 분석과 공간 데이터 처리에 활용됩니다. (150자 이내)",142
al_26_d010,"GIS건물통합정보_부산의 al_26_d010 테이블은 부산광역시의 건물 정보를 포함하고 있습니다. 이 테이블에는 건물의 GID, 주소, 구조, 용도, 지번 등 다양한 정보가 저장되어 있습니다. 이 정보는 GIS 분석과 도시 계획에 활용될 수 있습니다.",140
tl_sgco_rnadr_mst,"table_name: tl_sgco_rnadr_mst
description: 도로명주소 건물 도형정보 테이블, 건물의 지리적 위치와 도형 정보를 포함. (도로명 주소, 건물 ID, 시군구 코드, 동/면/읍 코드, 건물 번호, 건물 이름, 건물 형태 등)",141
tl_spbd_entrc,"table_name: tl_spbd_entrc
description: 도로명주소 출입구 정보를 저장하는 테이블, 각 행은 출입구의 고유 ID, 건물 관리 번호, 출입구 형태, 관리 번호, 장비 관리 SN, 운영 날짜, 시그널 코드, 지오메트리 정보를 포함.",143
tl_spot_cntc,"table_name: tl_spot_cntc
description: 도로명주소 연결선 정보를 저장하는 테이블, 각 행은 하나의 연결선을 나타내고, 열은 해당 연결선의 고유 ID, BSID, 시작점, 종점, 관리번호, 운영일자, RDMSID, RSIGCD, SIGCD, 지오메트리 등을 포함.",162
crosswalk_seoul,"crosswalk_seoul: 횡단보도 정보를 포함하는 테이블로, 각 행은 한 개의 횡단보도를 나타내고 열은 해당 횡단보도의 속성(예: 위치, 길이, 설치일 등)을 포함합니다. 이 테이블을 통해 서울시의 모든 횡단보도에 대한 정보를 확인할 수 있습니다. (150자)",148
upis_c_uq153_seoul,"table_name: upis_c_uq153_seoul
description: 서울시 도로공간시설 정보, 녹지, 공원, 소공원, 공공공지 등 다양한 시설의 위치와 특징을 포함. (도시계획시설(공간시설)_서울)",116
kid_okzone_seoul,"kid_okzone_seoul: 서울시 어린이 OK존 정보를 제공하는 테이블입니다. 각 행은 어린이 OK존의 이름, 주소, 위치, 영업시간, 키즈메뉴, 유아용품, 주차가능여부 등에 대한 정보를 포함합니다. 이 테이블을 통해 서울시 내 어린이 OK존을 쉽게 찾고 선택할 수 있습니다. (150자)",164
feeding_facility_seoul,"table_name: feeding_facility_seoul
description: 서울시내 수유시설의 위치, 이용대상, 전화번호 등 정보를 제공하는 데이터베이스입니다.",95
child_safety_keeper_house,"child_safety_keeper_house: 아동 안전 지킴이 집 정보를 제공하는 테이블입니다. 각 업소의 위치, 운영 시간, 연락처 등이 포함되어 있습니다. 이 테이블은 어린이와 보호자에게 안전한 공간을 찾는 데 도움이 됩니다. (150자)",137
child_forest_seoul,"table_name: child_forest_seoul
description: 서울시 유아숲체험원 정보를 포함하는 테이블입니다. 각 열은 유아숲체험원의 이름, 주소, 면적, 접근성, 경사도, 가는 방법, 공원명 등 다양한 정보를 제공합니다. 이 테이블을 통해 서울시의 유아숲체험원을 쉽게 찾고 이용할 수 있습니다.",175
age_group_popltn,"age_group_popltn은 연령별 인구수 데이터를 저장하는 테이블입니다. 이 테이블에는 각 연령대별로 시/도, 구/군, 지리적 위치 정보와 함께 해당 연령대의 인구수를 포함합니다.",103
lsmd_cont_uo101,"lsmd_cont_uo101: 학교 주변 환경정화구역 정보를 포함하는 테이블로, 각 행은 구역의 고유 ID, 알림 날짜, 별칭, 설명, 관리번호, 지자체 OID, 행정구역 코드, 및 지리적 위치 정보를 포함합니다. 이 테이블은 교육지원청에서 관리하고, 학교 주변 환경정화구역에 대한 세부내용을 확인할 수 있습니다. (150자)",182
